// WARNING: ensure this file is saved in text CSV format when modifying this file,,,
// PM_METRIC,IPM_ONLY,NAME,DESCRIPTION
,,,
PM_METRIC_PRESENTED_FPS,1,Presented FPS,The rate at which the application is calling Present().
PM_METRIC_DROPPED_FRAMES,1,Dropped Frames,Indicates if the frame was not displayed.
,,,
PM_METRIC_GPU_VENDOR,1,GPU Vendor,Vendor name of the GPU.
PM_METRIC_GPU_NAME,1,GPU Name,Device name of the GPU.
PM_METRIC_CPU_VENDOR,1,CPU Vendor,Vendor name of the CPU.
PM_METRIC_CPU_NAME,1,CPU Name,Device name of the CPU.
,,,
PM_METRIC_GPU_SUSTAINED_POWER_LIMIT,1,GPU Sustained Power Limit,Sustained power limit of the GPU.
PM_METRIC_GPU_POWER,1,GPU Power,Power consumed by the graphics adapter.
PM_METRIC_GPU_VOLTAGE,1,GPU Voltage,Voltage consumed by the graphics adapter.
PM_METRIC_GPU_FREQUENCY,1,GPU Frequency,Clock speed of the GPU cores.
PM_METRIC_GPU_TEMPERATURE,1,GPU Temperature,Temperature of the GPU.
PM_METRIC_GPU_FAN_SPEED,1,GPU Fan Speed,Rate at which a GPU cooler fan is rotating.
PM_METRIC_GPU_UTILIZATION,1,GPU Utilization,Amount of GPU processing capacity being used.
PM_METRIC_GPU_RENDER_COMPUTE_UTILIZATION,1,3D/Compute Utilization,Amount of 3D/Compute processing capacity being used.
PM_METRIC_GPU_MEDIA_UTILIZATION,1,Media Utilization,Amount of media processing capacity being used.
,,,
PM_METRIC_GPU_POWER_LIMITED,1,GPU Power Limited,GPU frequency is being limited because GPU is exceeding maximum power limits.
PM_METRIC_GPU_TEMPERATURE_LIMITED,1,GPU Temperature Limited,GPU frequency is being limited because GPU is exceeding maximum temperature limits.
PM_METRIC_GPU_CURRENT_LIMITED,1,GPU Current Limited,GPU frequency is being limited because GPU is exceeding maximum current limits.
PM_METRIC_GPU_VOLTAGE_LIMITED,1,GPU Voltage Limited,GPU frequency is being limited because GPU is exceeding maximum voltage limits.
PM_METRIC_GPU_UTILIZATION_LIMITED,1,GPU Utilization Limited,GPU frequency is being limited due to low GPU utilization.
,,,
PM_METRIC_GPU_MEM_POWER,1,GPU Memory Power,Power consumed by the GPU memory.
PM_METRIC_GPU_MEM_VOLTAGE,1,GPU Memory Voltage,Voltage consumed by the GPU memory.
PM_METRIC_GPU_MEM_FREQUENCY,1,GPU Memory Frequency,Clock speed of the GPU memory.
PM_METRIC_GPU_MEM_EFFECTIVE_FREQUENCY,1,GPU Memory Effective Frequency,Effective data transfer rate GPU memory can sustain.
PM_METRIC_GPU_MEM_TEMPERATURE,1,GPU Memory Temperature,Temperature of the GPU memory.
,,,
PM_METRIC_GPU_MEM_SIZE,1,GPU Memory Size,Size of the GPU memory.
PM_METRIC_GPU_MEM_USED,1,GPU Memory Size Used,Amount of used GPU memory.
PM_METRIC_GPU_MEM_UTILIZATION,1,GPU Memory Utilization,Percent of GPU memory used.
PM_METRIC_GPU_MEM_MAX_BANDWIDTH,1,GPU Memory Max Bandwidth,Maximum total GPU memory bandwidth.
PM_METRIC_GPU_MEM_WRITE_BANDWIDTH,1,GPU Memory Write Bandwidth,Maximum GPU memory bandwidth for writing.
PM_METRIC_GPU_MEM_READ_BANDWIDTH,1,GPU Memory Read Bandwidth,Maximum GPU memory bandwidth for reading.
,,,
PM_METRIC_GPU_MEM_POWER_LIMITED,1,GPU Memory Power Limited,Memory frequency is being limited because the memory modules are exceeding the maximum power limits.
PM_METRIC_GPU_MEM_TEMPERATURE_LIMITED,1,GPU Memory Temperature Limited,Memory frequency is being limited because the memory modules are exceeding the maximum temperature limits.
PM_METRIC_GPU_MEM_CURRENT_LIMITED,1,GPU Memory Current Limited,Memory frequency is being limited because the memory modules are exceeding the maximum current limits.
PM_METRIC_GPU_MEM_VOLTAGE_LIMITED,1,GPU Memory Voltage Limited,Memory frequency is being limited because the memory modules are exceeding the maximum voltage limits.
PM_METRIC_GPU_MEM_UTILIZATION_LIMITED,1,GPU Memory Utilization Limited,Memory frequency is being limited due to low memory traffic.
,,,
PM_METRIC_CPU_UTILIZATION,1,CPU Utilization,Amount of CPU processing capacity being used.
PM_METRIC_CPU_POWER_LIMIT,1,CPU Power Limit,Power limit of the CPU.
PM_METRIC_CPU_POWER,1,CPU Power,Power consumed by the CPU.
PM_METRIC_CPU_TEMPERATURE,1,CPU Temperature,Temperature of the CPU.
PM_METRIC_CPU_FREQUENCY,1,CPU Frequency,Clock speed of the CPU.
PM_METRIC_CPU_CORE_UTILITY,1,CPU Core Utility,Amount of CPU processing utility being used per core.
,,,
PM_METRIC_INSTRUMENTED_LATENCY,,Instrumented Latency,Instrumented Frame Start To Display Latency,How long it took from the instrumented start of this frame until the frame was displayed on the screen.
